"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL1604";"CEPHRADINE";"Anspor|CEFRADINE|CEFRADINE HYDRATE|CEPHRADINE|CEPHRADINE ANHYDROUS|CEPHRADINE HYDRATE|CEPHRADINE, UNSPECIFIED HYDRATE|Cefradine|Ecosporina|NICEF|NSC-756672|SK&F D-39304|SK-D-39304|SQ 11436|SQ 22022 [DIHYDRATE]|SQ-11436|SQ-22022|VELOSEF '125'|VELOSEF '250'|VELOSEF '500'|Velosef";"NSC-756672|SK&F D-39304|SK-D-39304|SQ 11436|SQ 22022 [DIHYDRATE]|SQ-11436|SQ-22022";"4.0";"Teva Pharmaceuticals Usa Inc|Bristol Myers Squibb Co|Vitarine Pharmaceuticals Inc|Glaxosmithkline|Ersana Inc Sub Er Squibb And Sons|Apothecon Inc Div Bristol Myers Squibb|Barr Laboratories Inc|Ivax Pharmaceuticals Inc Sub Teva Pharmaceuticals Usa";"";"1971";"";"";"1974";"J01DB09";"J01DB - First-generation cephalosporins";"J01D - OTHER BETA-LACTAM ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"1";"0";"0";"Discontinued";"CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)C3=CCC=CC3)[C@H]2SC1"
"CHEMBL1572";"NETILMICIN";"NETILMICIN|NETIRA|NSC-759586|Netilmicin";"NSC-759586";"4.0";"Schering Corp Sub Schering Plough Corp";"'-micin'";"1976";"antibiotics (Micromonospora strains)";"'-micin(-micin)'";"1983";"J01GB07 | S01AA23";"J01GB - Other aminoglycosides | S01AA - Antibiotics";"J01G - AMINOGLYCOSIDE ANTIBACTERIALS | S01A - ANTIINFECTIVES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"0";"0";"Discontinued";"CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O"
"CHEMBL249837";"METHACYCLINE";"GS-2876|METACYCLINE|METHACYCLINE|MOTC";"GS-2876";"4.0";"Medpointe Pharmaceuticals Medpointe Healthcare Inc";"'-cycline'";"1962";"antibiotics (tetracycline derivatives)";"'-cycline(-cycline)'";"1982";"J01AA05";"J01AA - Tetracyclines";"J01A - TETRACYCLINES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Discontinued";"C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12"
"CHEMBL1741";"CLARITHROMYCIN";"6-O-METHYLERYTHROMYCIN|A-56268|ABBOTT-56268|BIAXIN XL|Biaxin|Biaxin XL Pac|CLARIE XL|CLARITHROMYCIN|CLARITHROMYCIN IDENTITY|CLAROSIP|CYLLIND|Clarithromycin extended release|ERYTHROMYCIN, 6-O-METHYL-|FEBZIN XL|KLACID|KLARICID|KLARICID 500|KLARICID ADULT|KLARICID I.V.|KLARICID PAED|KLARICID XL|MACLADIN|MAVID|MYCIFOR XL|NSC-758704|Prevpac|TE-031|VECLAM|XETININ XL|ZECLAR";"A-56268|ABBOTT-56268|NSC-758704|TE-031";"4.0";"Sunshine Lake Pharma Co Ltd|Takeda Pharmaceuticals Usa Inc|Abbvie Inc|Chartwell Life Molecules Llc|Mylan Pharmaceuticals Inc|Ivax Pharmaceuticals Inc Sub Teva Pharmaceuticals Usa|Rising Pharma Holdings Inc|Teva Pharmaceuticals Usa Inc|Ajanta Pharma Ltd|Aurobindo Pharma Ltd";"'-mycin'";"1988";"antibiotics (Streptomyces strain)";"'-mycin(-mycin)'";"1991";"J01FA09";"J01FA - Macrolides";"J01F - MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"US-7977488-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL1506";"CHLORAMPHENICOL PALMITATE";"CHLORAMBON|CHLORAMPHENICOL PALMITATE|CHLORAMPHENICOLI PALMITAS|CLOROLIFARINA|Chloramphenicol Palmitate|Chlorolifarina|Chloromycetin Palmitate|Chloropal|DETREOPAL|NSC-756675";"NSC-756675";"4.0";"Parke Davis Pharmaceutical Research Div Warner Lambert Co";"";"";"";"";"1982";"J01BA01 | G01AA05 | D10AF03 | D06AX02 | S01AA01 | S02AA01 | S03AA08";"J01BA - Amphenicols | G01AA - Antibiotics | D10AF - Antiinfectives for treatment of acne | D06AX - Other antibiotics for topical use | S01AA - Antibiotics | S02AA - Antiinfectives | S03AA - Antiinfectives";"J01B - AMPHENICOLS | G01A - ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE | D06A - ANTIBIOTICS FOR TOPICAL USE | S01A - ANTIINFECTIVES | S02A - ANTIINFECTIVES | S03A - ANTIINFECTIVES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | G01 - GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS | D10 - ANTI-ACNE PREPARATIONS | D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE | S01 - OPHTHALMOLOGICALS | S02 - OTOLOGICALS | S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | G - GENITO URINARY SYSTEM AND SEX HORMONES | D - DERMATOLOGICALS | D - DERMATOLOGICALS | S - SENSORY ORGANS | S - SENSORY ORGANS | S - SENSORY ORGANS";"Antirickettsial; Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"1";"1";"0";"0";"0";"Discontinued";"CCCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1"
"CHEMBL291157";"ROSOXACIN";"ACROSOXACIN|Acrosoxacin|ERACINE|ERADACIL|ERADACIN|ERADICIN|NSC-146617|ROSOXACIN|Roxadyl|WIN 35,213|WIN-35213|WINOXACIN|WINURON";"NSC-146617|WIN 35,213|WIN-35213";"4.0";"";"'-oxacin'";"1976";"antibacterials (quinolone derivatives)";"'-oxacin(-oxacin)'";"";"J01MB01";"J01MB - Other quinolones";"J01M - QUINOLONE ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21"
"CHEMBL65794";"CEFPIROME";"CEFIR|CEFPIROME|HR-810 FREE BASE";"HR-810 FREE BASE";"4.0";"";"'cef-'";"1989";"cephalosporins";"'cef-(cef-)'";"";"J01DE02";"J01DE - Fourth-generation cephalosporins";"J01D - OTHER BETA-LACTAM ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@H]12)c1csc(N)n1"
"CHEMBL1747";"TOBRAMYCIN";"47663|Aktob|BETHKIS|BRAMITOB|KITABIS PAK|NEBCIN|NEBRAMYCIN FACTOR 6|NEBRAMYCIN VI|NEBRIS|NSC-180514|Nebcin|Nebicin|Nebramycin|Obramycin|TOBI PODHALER|TOBRALEX|TOBRAMYCIN|TOBRAVISC|TYMBRINEB|Tobi|Tobradex|Tobradex ST|Tobrex|VANTOBRA";"47663|NSC-180514";"4.0";"Igi Laboratories Inc|Alkem Laboratories Ltd|Watson Laboratories Inc|Bausch And Lomb Pharmaceuticals Inc|Luoxin Aurovitas Pharma Chengdu Co Ltd|Dr Reddys Laboratories Sa|Xellia Pharmaceuticals Aps|Xgen Pharmaceuticals Djb Inc|Amneal Eu Ltd|Novartis Pharmaceuticals Corp";"'-mycin'";"1972";"antibiotics (Streptomyces strain)";"'-mycin(-mycin)'";"1975";"J01GB01 | S01AA12";"J01GB - Other aminoglycosides | S01AA - Antibiotics";"J01G - AMINOGLYCOSIDE ANTIBACTERIALS | S01A - ANTIINFECTIVES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS";"Antibacterial";"US-6987094-B2";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"1";"1";"1";"Prescription Only";"NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O"
"CHEMBL1609";"MANDELIC ACID";"DL-MANDELIC ACID|MANDELIC ACID|Mandelic Acid|NSC-7925|PARAMANDELIC ACID|RACEMIC MANDELIC ACID";"NSC-7925";"4.0";"";"";"";"";"";"";"B05CA06 | J01XX06";"B05CA - Antiinfectives | J01XX - Other antibacterials";"B05C - IRRIGATING SOLUTIONS | J01X - OTHER ANTIBACTERIALS";"B05 - BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS | J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"B - BLOOD AND BLOOD FORMING ORGANS | J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"0";"0";"0";"0";"Unknown";"O=C(O)C(O)c1ccccc1"
"CHEMBL453";"SULFISOXAZOLE";"Entusil|Eryzole|Gantrisin|NSC-13120|NSC-683536|Neazolin|Pediazole|SOSOL|SOXAZOLE|SULFAFURAZOLE|SULFALAR|SULFISOXAZOLE|SULPHAFURAZOLE|SULSOXIN|Sulfafurazole|Sulfisoxazole|Sulphafurazole";"NSC-13120|NSC-683536";"4.0";"Pharmeral Inc|Vitarine Pharmaceuticals Inc|Watson Laboratories Inc|Alra Laboratories Inc|Purepac Pharmaceutical Co|Impax Laboratories Inc|Rising Pharma Holdings Inc|Lederle Laboratories Div American Cyanamid Co|Mk Laboratories Inc|Ani Pharmaceuticals Inc";"";"";"";"";"1971";"J01EB05 | S01AB02";"J01EB - Short-acting sulfonamides | S01AB - Sulfonamides";"J01E - SULFONAMIDES AND TRIMETHOPRIM | S01A - ANTIINFECTIVES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C"
"CHEMBL1650818";"AMDINOCILLIN PIVOXIL";"AMDINOCILLIN PIVOXIL|Coactabs|PIVMECILLINAM|PIVMECILLINAM HYDROCHLORIDE|RO 10-9071|RO-10-9071|SELEXID";"RO 10-9071|RO-10-9071";"4.0";"";"'-cillin'";"1981";"penicillins";"'-cillin(-cillin)'";"";"J01CA08";"J01CA - Penicillins with extended spectrum";"J01C - BETA-LACTAM ANTIBACTERIALS, PENICILLINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"0";"0";"0";"0";"Unknown";"CC(C)(C)C(=O)OCOC(=O)[C@@H]1N2C(=O)[C@@H](/N=C/N3CCCCCC3)[C@H]2SC1(C)C"
"CHEMBL267648";"PEFLOXACIN";"1589 RB|1589-RB|EU-5306|PEFLOXACIN";"1589 RB|1589-RB|EU-5306";"4.0";"";"'-oxacin'";"1981";"antibacterials (quinolone derivatives)";"'-oxacin(-oxacin)'";"";"J01MA03";"J01MA - Fluoroquinolones";"J01M - QUINOLONE ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21"
"CHEMBL1591";"DEMECLOCYCLINE";"DEMECLOCYCLINE|DEMETHYLCHLORTETRACYCLINE|Demeclocycline";"";"4.0";"Epic Pharma Llc|Lederle Laboratories Div American Cyanamid Co|Amneal Pharmaceutical|Corepharma Llc|Barr Laboratories Inc|Impax Laboratories Inc|Akorn Operating Co Llc";"'-cycline'";"";"antibiotics (tetracycline derivatives)";"'-cycline(-cycline)'";"1960";"D06AA01 | J01AA01";"D06AA - Tetracycline and derivatives | J01AA - Tetracyclines";"D06A - ANTIBIOTICS FOR TOPICAL USE | J01A - TETRACYCLINES";"D06 - ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE | J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"D - DERMATOLOGICALS | J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12"
"CHEMBL446";"SULFAMETHAZINE";"BN-2409|NSC-67457|NSC-683529|SMZ-MED 454|SULFADIMERAZINE|SULFADIMETHYLPYRIMIDINE|SULFADIMIDINE|SULFADIMIDINUM|SULFAMETHAZINE|SULFAMETHAZINE (TRISULFAPYRIMIDINES)|SULFAMEZATHINE|SULFAMEZATHINE ('S-MEZ')|SULFAMIDINE|Sulfamethazine";"BN-2409|NSC-67457|NSC-683529";"4.0";"Wyeth Ayerst Laboratories|Bristol Myers Squibb Co|Lederle Laboratories Div American Cyanamid Co|Alpharma Us Pharmaceuticals Division|Pal Pak Inc|Forest Pharmaceuticals Inc|Eli Lilly And Co|Purepac Pharmaceutical Co|Lannett Co Inc|Impax Laboratories Inc";"'sulfa-'";"";"antimicrobials (sulfonamides derivatives)";"'sulfa-(sulfa-)'";"1949";"J01EB03";"J01EB - Short-acting sulfonamides";"J01E - SULFONAMIDES AND TRIMETHOPRIM";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1"
"CHEMBL1605";"CEFTIBUTEN";"7432-S|ACHN-383|ACHN383|CEFTIBUTEN|CEFTIBUTEN DIHYDRATE|CEFTIBUTEN HYDRATE|CEFTIBUTIN|Cedax|Ceftibuten|Ceftibuten dihydrate|NSC-758925|SCH 39720|SCH-39720|Seftem";"7432-S|ACHN-383|ACHN383|NSC-758925|SCH 39720|SCH-39720";"4.0";"Si Pharmaceuticals Llc";"'cef-'";"1989";"cephalosporins";"'cef-(cef-)'";"1995";"J01DD14";"J01DD - Third-generation cephalosporins";"J01D - OTHER BETA-LACTAM ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"0";"0";"Prescription Only";"Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1"
"CHEMBL474579";"CEFOTETAN";"CEFOTETAN|Cefotan|ICI 156,834|ICI-156,834|ICI-156834|NSC-760045";"ICI 156,834|ICI-156834|NSC-760045";"4.0";"Fresenius Kabi Usa Llc|Hikma Farmaceutica Portugal Sa|Teligent Pharma Inc|Pai Holdings Llc Dba Pharmaceutical Associates Inc|B Braun Medical Inc|West-Ward Pharmaceutical Corp";"'cef-'";"1983";"cephalosporins";"'cef-(cef-)'";"1985";"J01DC05";"J01DC - Second-generation cephalosporins";"J01D - OTHER BETA-LACTAM ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"1";"0";"0";"Prescription Only";"CO[C@@]1(NC(=O)C2SC(=C(C(N)=O)C(=O)O)S2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21"
"CHEMBL532";"ERYTHROMYCIN";"A/T/S|AKNE-MYCIN|AKNEMYCIN PLUS|Benzamycin|Bristamycin|C-SOLVE-2|E-BASE|E-Base|E-GLADES|E-Glades|E-Mycin|E-SOLVE 2|E-mycin|ERY-TAB|ERYACNE 2|ERYACNE 4|ERYC 125|ERYC SPRINKLES|ERYCETTE|ERYMAX SPRINKLE|ERYTHRA-DERM|ERYTHRO-STATIN|ERYTHROMYCIN|ERYTHROMYCIN ESTOLATE IMPURITY, FREE ERYTHROMYCIN-|Emgel|Eryc|Eryderm|Erygel|Erymax|Erypar|Erythro 200|Erythro-Statin|Erythrocin|Erythromycin|Gallimycin|ISOTREXIN|Ilotycin|J01FA01|KERYMAX|NSC-55929|OFTALMOLOSA CUSI ERITROMICINA|PAEDIATHROCIN|PCE|Pfizer-E|R-P MYCIN|RETCIN|ROBIMYCIN|ROMMIX 250 EC|ROMMIX 500 EC|SANSAC|STATICIN|STIEMYCIN|T-STAT|TILORYTH|Wyamycin|ZINERYT";"J01FA01|NSC-55929";"4.0";"Alkem Laboratories Ltd|Westwood Squibb Pharmaceuticals Inc|Watson Laboratories Inc|Abbott Laboratories Pharmaceutical Products Div|Fougera Pharmaceuticals Inc|Bausch And Lomb Pharmaceuticals Inc|Lyne Laboratories Inc|Taro Pharmaceuticals Usa Inc|Mylan Pharmaceuticals Inc|Purepac Pharmaceutical Co";"'-mycin'";"";"antibiotics (Streptomyces strain)";"'-mycin(-mycin)'";"1964";"S01AA17 | J01FA01 | D10AF02 | D10AF52";"S01AA - Antibiotics | J01FA - Macrolides | D10AF - Antiinfectives for treatment of acne | D10AF - Antiinfectives for treatment of acne";"S01A - ANTIINFECTIVES | J01F - MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE";"S01 - OPHTHALMOLOGICALS | J01 - ANTIBACTERIALS FOR SYSTEMIC USE | D10 - ANTI-ACNE PREPARATIONS | D10 - ANTI-ACNE PREPARATIONS";"S - SENSORY ORGANS | J - ANTIINFECTIVES FOR SYSTEMIC USE | D - DERMATOLOGICALS | D - DERMATOLOGICALS";"Antibacterial";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"1";"0";"1";"0";"Prescription Only";"CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O"
"CHEMBL74632";"MOXALACTAM";"LATAMOXEF|Moxalactam|Moxam";"";"4.0";"Eli Lilly And Co";"";"1980";"";"";"1982";"J01DD06";"J01DD - Third-generation cephalosporins";"J01D - OTHER BETA-LACTAM ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Anti-Infective";"None";"1:Synthetic Small Molecule";"0";"0";"Racemic Mixture";"0";"0";"1";"0";"0";"Discontinued";"CO[C@@]1(NC(=O)C(C(=O)O)c2ccc(O)cc2)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CO[C@@H]21"
"CHEMBL1583";"BACAMPICILLIN";"BACAMPICILLIN|Bacampicillin|PENGLOBE";"";"4.0";"Pfizer Laboratories Div Pfizer Inc";"'-cillin'";"1977";"penicillins";"'-cillin(-cillin)'";"1980";"J01CA06";"J01CA - Penicillins with extended spectrum";"J01C - BETA-LACTAM ANTIBACTERIALS, PENICILLINS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"1";"1";"0";"0";"0";"Discontinued";"CCOC(=O)OC(C)OC(=O)[C@@H]1N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccccc3)[C@H]2SC1(C)C"
"CHEMBL1109";"SULFAPHENAZOLE";"NSC-757859|ORISULF|SULFAFENAZOL|SULFAPHENAZOLE|SULPHAPHENAZOLE|Sulfabid|Sulfafenazol|Sulfaphenazole";"NSC-757859";"4.0";"Pharmaceutical Research Assoc Inc|Purdue Frederick Co";"'sulfa-'";"";"antimicrobials (sulfonamides derivatives)";"'sulfa-(sulfa-)'";"1982";"J01ED08 | S01AB05";"J01ED - Long-acting sulfonamides | S01AB - Sulfonamides";"J01E - SULFONAMIDES AND TRIMETHOPRIM | S01A - ANTIINFECTIVES";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE | S - SENSORY ORGANS";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1"
"CHEMBL5";"NALIDIXIC ACID";"MICTRAL|NALIDIXANE|NALIDIXATE|NALIDIXIC ACID|NALIX|NEGRAM|NSC-82174|Neg Gram|Neggram|URIBEN|Uroneg|WIN 18,320|WIN-18320|Wintomylon";"NSC-82174|WIN 18,320|WIN-18320";"4.0";"Sun Pharmaceutical Industries Inc|Sanofi Aventis Us Llc|Watson Laboratories Inc";"'nal-'";"1962";"narcotic agonists/antagonists (normorphine type)";"'nal-(nal-)'";"1964";"J01MB02";"J01MB - Other quinolones";"J01M - QUINOLONE ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"1";"0";"0";"0";"Discontinued";"CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21"
"CHEMBL3351077";"CEFSULODIN";"CEFSULODIN|J01DD03";"J01DD03";"4.0";"";"'cef-'";"1979";"cephalosporins";"'cef-(cef-)'";"";"J01DD03";"J01DD - Third-generation cephalosporins";"J01D - OTHER BETA-LACTAM ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"NC(=O)c1cc[n+](CC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)[C@@H](c4ccccc4)S(=O)(=O)O)[C@H]3SC2)cc1"
"CHEMBL1257051";"TEDIZOLID";"SIVEXTRO|TEDIZOLID|TOREZOLID|TR-700|Torezolid";"TR-700";"4.0";"";"'-zolid'";"2009";"oxazolidinone antibacterials";"'-zolid(-zolid)'";"";"J01XX11";"J01XX - Other antibacterials";"J01X - OTHER ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"Cn1nnc(-c2ccc(-c3ccc(N4C[C@H](CO)OC4=O)cc3F)cn2)n1"
"CHEMBL1201270";"METHENAMINE";"AMINOFORM|E-239|E239|HEXAMETHYLENAMINE|HEXAMETHYLENE TETRAMINE|HEXAMETHYLENETETRAMINE|HEXAMINE|INS NO.239|INS-239|METHENAMINE|NSC-26346|NSC-403347|Uritone|Urotropin";"E-239|INS NO.239|INS-239|NSC-26346|NSC-403347";"4.0";"Micro Labs Ltd|Alvogen Inc|Novast Laboratories Ltd|Validus Pharmaceuticals Llc|Aurobindo Pharma Ltd|Impax Laboratories Inc";"";"1963";"";"";"1967";"J01XX05";"J01XX - Other antibacterials";"J01X - OTHER ANTIBACTERIALS";"J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"Antibacterial (urinary)";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"1";"1";"0";"0";"0";"Prescription Only";"C1N2CN3CN1CN(C2)C3"
